veja;2020-11-27;ahoj
veja;2020-11-27;ahoj
ahoj;;caves
ahoj;;caves
cdas;;csa
cdas;;csa
xca;;FDCA
xca;;FDCA
xca;;FDCA
xqs;;SWQ
xqs;;SWQ
xqs;;SWQ
xqs;;SWQ
fwed;;cqdsa
fwed;;cqdsa
fwed;;cqdsa
fwed;;cqdsa
mariana;;ja som blbaaaaaa
mariana;;ja som blbaaaaaa
ojjee;;gusqKA
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
ahoj vejka;;sevaaas zebrak
ahoj vejka;;sevaaas zebrak
ahoj vejka;;sevaaas zebrak
ahoj vejka;;sevaaas zebrak
vejaa;;ochhh nejde to zmazat
vejaa;;ochhh nejde to zmazat
veja;;ahojjjj
veja;;ahojjjj
holaaa;;me llamo idiot
holaaa;;me llamo idiot
holaaa;;me llamo idiot
holaaa;;me llamo idiot
holaaa;;me llamo idiot
holaaa;;me llamo idiot
sevas;;ochhh nejde to zmazat
sevas;;ochhh nejde to zmazat
marta;;nllla

cda;;bkbk
cica;;cdsa
cica;;cdsa
cica;;cdsa
cica;;cdsa
cica;;cdsa
cica;;cdsa